osm_id;name;operator;operator.type;community_centre;x;y;facility_category;addr.postcode;social_facility;social_facility.for
444648948;Scuola d'infanzia Seragnoli;NA;NA;NA;11.29660692;44.50574285;school;NA;NA;NA
444949467;Scuola Primaria De Vigri;NA;NA;NA;11.30373571;44.51160947;school;40133;NA;NA
445043454;Scuola Elementare Cesana;NA;NA;NA;11.29888105;44.49264364;school;40133;NA;NA
465774605;Scuola Giovanni XXIII - Istituto Comprensivo 1;NA;NA;NA;11.28523037;44.49758847;school;NA;NA;NA
476040879;Scuola Elementare XXV Aprile;NA;NA;NA;11.28875497;44.48848289;school;NA;NA;NA
690220794;Scuola d'infanzia Mazzini;NA;NA;NA;11.26539194;44.52235484;school;NA;NA;NA
867529934;Scuola dell'Infanzia Fantini;NA;NA;NA;11.29300962;44.49137269;school;NA;NA;NA
872941927;Scuola Materna Villa May;NA;NA;NA;11.27665513;44.51484523;school;NA;NA;NA
1092915809;Scuola Primaria S. Giuseppe;NA;NA;NA;11.27737351;44.5012504;school;NA;NA;NA
1167524990;Scuola dell'Infanzia Futura;NA;NA;NA;11.29782839;44.49908597;school;40133;NA;NA
1187349371;Scuola Primaria Lipparini;NA;NA;NA;11.27445448;44.52081743;school;NA;NA;NA
1187349372;Scuola d'infanzia e Primaria Sacro Cuore;NA;NA;NA;11.27575021;44.51961045;school;NA;NA;NA
1187349378;Scuola d'infanzia Casa Del Bosco;NA;NA;NA;11.28514031;44.5107347;school;NA;NA;NA
1187349379;Scuola Primaria Fiorini;NA;NA;NA;11.29041614;44.51145949;school;NA;NA;NA
1187349392;Scuola d'infanzia e Primaria Adolfo Albertazzi;NA;NA;NA;11.30635389;44.50444616;school;NA;NA;NA
1196779334;"Scuola Primaria ""Due Agosto""";NA;NA;NA;11.27722628;44.50643011;school;NA;NA;NA
1196779358;Asilo Nido Acquerello;NA;NA;NA;11.27800918;44.50741391;school;NA;NA;NA
1292305734;Scuola Primaria Giorgio Morandi;NA;public;NA;11.29092629;44.49332156;school;40133;NA;NA
1392092616;Scuola d’infanzia Gallon;NA;NA;NA;11.26854105;44.5200942;school;NA;NA;NA
27040870;Istituti Aldini Valeriani e Sirani;NA;NA;NA;11.34629445;44.52234523;school;NA;NA;NA
149114111;Scuola  Materna Ada Zucchelli;NA;NA;NA;11.32194183;44.52386649;school;NA;NA;NA
149546349;Scuola primaria Casaralta;NA;NA;NA;11.35191421;44.51640354;school;40128;NA;NA
149546350;Scuola Media Statale Zappa;NA;NA;NA;11.35235823;44.52327785;school;40128;NA;NA
150818344;Istituto Tecnico Commerciale Statale Rosa Luxemburg;NA;NA;NA;11.31071217;44.51450853;school;NA;NA;NA
485532077;Scuola d'Infanzia Fresu;NA;NA;NA;11.35820108;44.53953203;school;NA;NA;NA
1181405401;Scuola secondaria di I grado Testoni Fioravanti;NA;NA;NA;11.34577107;44.51253059;school;40129;NA;NA
1184196510;Scuola Elementare Federzoni;NA;NA;NA;11.344573;44.50798168;school;NA;NA;NA
1196827375;Scuola Elementare Bottego;NA;public;NA;11.33004569;44.52073414;school;NA;NA;NA
1197037170;Istituto Professionale Malpighi - sede distaccata;NA;public;NA;11.32808548;44.51806461;school;40131;NA;NA
1241681108;Istituto Tecnico Agrario Arrigo Serpieri;NA;NA;NA;11.36694571;44.55005089;school;40128;NA;NA
1242039498;Liceo Scientifico Statale Albert Bruce Sabin;NA;NA;NA;11.34750373;44.50690331;school;NA;NA;NA
1243307338;Istituto Professionale Edile di Bologna;NA;NA;NA;11.36949702;44.53279538;school;NA;NA;NA
1284736056;Istituto Comprensivo n. 4;NA;NA;NA;11.36158415;44.54535557;school;NA;NA;NA
1291060022;Scuola Elementare Silvani;NA;NA;NA;11.32473647;44.52468082;school;NA;NA;NA
1291296482;Scuola Secondaria di I grado Salvo d'Acquisto;NA;NA;NA;11.3303633;44.52219454;school;NA;NA;NA
1370290796;Scuola Primaria Marsili;NA;NA;NA;11.35579034;44.5486637;school;NA;NA;NA
1412274178;Scuola d'infanzia Girotondo;NA;NA;NA;11.3564673;44.54222851;school;NA;NA;NA
1415902621;Scuola d'infanzia Marsili;NA;NA;NA;11.35875031;44.5451901;school;NA;NA;NA
325449413;Istituto Maestre Pie dell'Addolorata;NA;NA;NA;11.32155437;44.49751213;school;40131;NA;NA
325457397;IPSAS Aldrovandi Rubbiani - Succursale indirizzo Moda;NA;NA;NA;11.32720713;44.49658102;school;40134;NA;NA
325459243;Liceo Marcello Malpighi;Fondazione San Pellegrino;NA;NA;11.32972765;44.49477493;school;NA;NA;NA
325532341;Liceo Augusto Righi - Succursale;NA;NA;NA;11.31764054;44.49769298;school;40131;NA;NA
325532352;Maria Ausiliatrice;NA;NA;NA;11.31347567;44.49487001;school;NA;NA;NA
325533094;Scuola d'infanzia Arco Guidi;NA;NA;NA;11.3115317;44.4933448;school;NA;NA;NA
325723619;Scuola Primaria Luigi Bombicci;ISTITUTO COMPRENSIVO - I.C. N.8 VIA CA' SELVATICA;government;NA;11.32197034;44.49122065;school;40134;NA;NA
562445140;Scuola Secondaria 1° Malpighi;NA;NA;NA;11.32688105;44.49154362;school;NA;NA;NA
846957488;Liceo scientifico Augusto Righi;NA;NA;NA;11.3300472;44.4915837;school;NA;NA;NA
868460461;Scuola Secondaria I grado Fabrizio De Andrè;NA;public;NA;11.31683042;44.50054051;school;NA;NA;NA
1169861670;Scuola d'infanzia XXI Aprile 1945;NA;NA;NA;11.31481806;44.49152761;school;NA;NA;NA
1187608961;Scuola d'infanzia H.C. Andersen;NA;NA;NA;11.32769003;44.50063428;school;NA;NA;NA
1187608962;IC Gandino Guidi;NA;NA;NA;11.33098566;44.50013518;school;NA;NA;NA
1187608964;Scuola Primaria Manzolini;NA;NA;NA;11.33374454;44.49322627;school;NA;NA;NA
1187608970;IPSAS Aldrovandi Rubbiani;NA;NA;NA;11.33904506;44.50098978;school;40122;NA;NA
1187613134;Liceo Marco Minghetti;NA;NA;NA;11.33874405;44.49691438;school;NA;NA;NA
1192369139;Liceo Marco Minghetti - Succursale;NA;NA;NA;11.33697395;44.49124487;school;40123;NA;NA
1354397104;Liceo Laura Bassi;NA;NA;NA;11.33223235;44.49445849;school;NA;NA;NA
259931747;Scuole Elementari Mattiuzzi-Casali;NA;NA;NA;11.37357275;44.48710468;school;NA;NA;NA
259935228;"Liceo scietifico statale ""Enrico Fermi""";NA;NA;NA;11.37282004;44.48487206;school;40139;NA;NA
1072578744;Polo d'Infanzia Rodari;NA;NA;NA;11.37438869;44.50400279;school;NA;NA;NA
1073527892;Scuola Primaria Garibaldi;NA;NA;NA;11.37264736;44.50037617;school;40127;NA;NA
1073527894;Scuola Primaria Gualandi;NA;NA;NA;11.36643745;44.50315469;school;40127;NA;NA
1188355156;Scuola Primaria Il Pellicano;NA;NA;NA;11.36753466;44.49746966;school;NA;NA;NA
1225002431;Scuola Primaria Don Minzoni;NA;government;NA;11.37943666;44.50773211;school;40127;NA;NA
1283395456;Scuola Primaria Livio Tempesta;NA;NA;NA;11.39870857;44.49085791;school;40138;NA;NA
74381946;Scuola elementare Don Milani;NA;NA;NA;11.37298297;44.4798977;school;NA;NA;NA
327466530;Kinder College;Kinder International School Bologna;NA;NA;11.32498857;44.48083191;school;NA;NA;NA
500486005;Liceo Arcangeli;NA;NA;NA;11.3632186;44.47638866;school;NA;NA;NA
589515549;Istituto Comprensivo Clotilde Tambroni;NA;NA;NA;11.36875667;44.47416487;school;NA;NA;NA
822462755;Istituto Farlottine San Tommaso;NA;NA;NA;11.36781925;44.47251456;school;NA;NA;NA
855156194;Scuola Secondaria 1° Irnerio;NA;NA;NA;11.34933897;44.50249615;school;NA;NA;NA
1078201535;Scuola Secondaria 1° Guido Reni;NA;government;NA;11.35437632;44.49288002;school;NA;NA;NA
1136562176;Scuola primaria Adele Cremonini Ongaro;NA;NA;NA;11.33831088;44.48069773;school;NA;NA;NA
1178362875;Istituto San Giuseppe;NA;NA;NA;11.36347462;44.48123268;school;NA;NA;NA
1178617176;Scuola Elementare Marconi;NA;NA;NA;11.36833271;44.48268731;school;40137;NA;NA
1183751809;Liceo Arcangeli - succursale;NA;NA;NA;11.36407739;44.47474661;school;NA;NA;NA
1185268422;Scuola Primaria Fortuzzi;NA;NA;NA;11.35013439;44.48261359;school;40136;NA;NA
253834635;Istituto Comprensivo n. 12;NA;NA;NA;11.38593489;44.48805037;school;NA;NA;NA
260883952;Istituto Farlottine;NA;NA;NA;11.38059491;44.46716616;school;NA;NA;NA
270305422;Istituto Comprensivo 13;NA;NA;NA;11.36882779;44.45933105;school;40141;NA;NA
871482257;IIS Manfredi Tanari;NA;NA;NA;11.38585631;44.48999104;school;NA;NA;NA
1186091948;Scuola Secondaria di I grado Guercino;NA;NA;NA;11.38581549;44.46768369;school;NA;NA;NA
1190460447;Scuola Primaria Gian Paolo Costa;NA;NA;NA;11.37958224;44.4725534;school;40100;NA;NA
1191220054;Scuola Primaria Raffaello Sanzio;NA;NA;NA;11.37819683;44.4650006;school;40141;NA;NA
1195609789;Scuola secondaria di I grado Rita Levi Montalcini;NA;NA;NA;11.38125;44.47519845;school;40139;NA;NA
1279650696;Scuole San Domenico Savio;NA;NA;NA;11.39567823;44.47819051;school;NA;NA;NA
12531978616;CSRR Battindarno;NA;NA;NA;11.2962414;44.5015702;social_centre;40133;nursing_home;disabled
9280304209;Casa delle donne per non subire violenza;NA;NA;NA;11.3636014;44.4971158;social_centre;NA;shelter;woman
11498162881;Centro diurno I Tulipani;NA;NA;NA;11.3979812;44.5137322;social_centre;NA;day_care;senior
12620552251;Pronto soccorso sociale;NA;NA;NA;11.3603949;44.50488;social_centre;NA;shelter;underprivileged
1136569482;Casa residenza Villa Ranuzzi;NA;NA;NA;11.26896691;44.49343023;social_centre;NA;nursing_home;NA
1195354619;Casa residenza per anziani Saliceto;NA;NA;NA;11.35363792;44.52512335;social_centre;NA;nursing_home;senior
9755639072;Dipartimento di Fisica e Astronomia - Settore Astrofisica;Università di Bologna;public;NA;11.3367617;44.5218209;university;NA;NA;NA
9755639073;"Laboratori Dipartimento di Chimica ""G. Ciamician""";Università di Bologna;public;NA;11.3360968;44.5209218;university;NA;NA;NA
9995473379;CIRSFID;Università di Bologna;university;NA;11.3419242;44.4972985;university;NA;NA;NA
10871250939;"Istituto di Psichiatria ""Paolo Ottonello""";NA;NA;NA;11.3291641;44.4934814;university;NA;NA;NA
1704247370;Laboratorio Ranzani;Università di Bologna;NA;NA;11.3586029;44.5016769;university;40127;NA;NA
3241481866;"Dipartimento di Fisica e Astronomia ""Augusto Righi""";Università di Bologna;NA;NA;11.3570108;44.5003029;university;40127;NA;NA
3464977114;Facoltà di Agraria;NA;NA;NA;11.405893;44.5137558;university;NA;NA;NA
3979367433;Laboratori di Cancerologia;Università di Bologna;NA;NA;11.357534;44.4950717;university;NA;NA;NA
9879633184;Dipartimento di Farmacia e Biotecnologie;Università di Bologna;university;NA;11.3580727;44.4986315;university;NA;NA;NA
411366245;Aula Absidale di Santa Lucia;NA;NA;NA;11.3482842;44.4898123;university;40124;NA;NA
1625924206;Dipartimento di Scienze Politiche e Sociali;Università di Bologna;public;NA;11.3541437;44.4911422;university;40125;NA;NA
1627376986;CUSB - Centro Universitario Sportivo Bologna;NA;NA;NA;11.3554382;44.4962153;university;NA;NA;NA
1627376995;"Dipartimento di Chimica ""G. Ciamician""";Università di Bologna;NA;NA;11.3541888;44.4965361;university;NA;NA;NA
1627377003;Plesso di Geologia e Paleontologia;Università di Bologna;NA;NA;11.3557399;44.4976069;university;40126;NA;NA
1704277275;Dipartimento di Scienze Statistiche;NA;NA;NA;11.3521478;44.4976748;university;40126;NA;NA
1704277932;Dipartimento di Farmacia e Biotecnologie;NA;NA;NA;11.3531442;44.4998428;university;40126;NA;NA
1704548781;Bologna Business School;NA;NA;NA;11.3466042;44.4668156;university;40136;NA;NA
9872497703;Dipartimento di Scienze Aziendali;Università di Bologna;NA;NA;11.3475438;44.5000075;university;40126;NA;NA
9879633180;Dipartimento di Scienze Giuridiche;Università di Bologna;NA;NA;11.3490545;44.4957603;university;40126;NA;NA
10304161306;Laboratorio di Ingegneria Nucleare;Università di Bologna;NA;NA;11.3287515;44.4633784;university;40136;NA;NA
11405785198;Aule San Petronio Vecchio;Università di Bologna;university;NA;11.3531344;44.4899497;university;NA;NA;NA
11405792944;UniBO - Sede di Geografia;Università di Bologna;university;NA;11.3512282;44.4907466;university;40124;NA;NA
60828440;Università di Bologna - Plesso Bertalia-Lazzaretto;Università di Bologna;university;NA;11.31997125;44.51377284;university;NA;NA;NA
1189512368;Azienda Sperimentale Sant'Anna;Università di Bologna;public;NA;11.38468732;44.54724163;university;NA;NA;NA
378227146;Dipartimento di Filosofia e Comunicazione - Comunicazione;Università di Bologna;NA;NA;11.33751286;44.5009487;university;NA;NA;NA
1034074503;Plesso Risorgimento;Alma Mater Studiorum - Università di Bologna;public;NA;11.32914549;44.48882028;university;40136;NA;NA
1078074014;Dipartimento delle Arti - DAMSLab;Università di Bologna;NA;NA;11.33513504;44.50235652;university;NA;NA;NA
305358153;Università di Bologna - Plesso Ranzani;NA;NA;NA;11.35895406;44.50143574;university;NA;NA;NA
848097944;Ex Bodoniana - Dipartimento di Farmacia e Biotecnologie;Università di Bologna;university;NA;11.35847932;44.49881344;university;NA;NA;NA
1068102786;Plesso Fanin;NA;NA;NA;11.40672511;44.51451;university;NA;NA;NA
1076597733;Università di Bologna - Plesso Berti Pichat;NA;NA;NA;11.35707537;44.50068629;university;NA;NA;NA
148752946;Sede di Mineralogia;NA;NA;NA;11.35518919;44.498165;university;NA;NA;NA
148832791;Università di Bologna - Facoltà di Lingue e Letterature Straniere - Presidenza;NA;NA;NA;11.35532488;44.50033862;university;NA;NA;NA
312338026;San Giovanni in Monte;NA;NA;NA;11.34809636;44.49044713;university;NA;NA;NA
1034074503;Plesso Risorgimento;Alma Mater Studiorum - Università di Bologna;public;NA;11.32935176;44.48781978;university;40136;NA;NA
1078070029;Dipartimento di Arti Visive;Università di Bologna;NA;NA;11.35489657;44.48829843;university;NA;NA;NA
1188671864;DIBINEM - sede di malattie odontostomatologiache e Chirurgia maxillo-facciale;Università di Bologna;university;NA;11.35393843;44.49362027;university;40125;NA;NA
1191934220;Plesso Hercolani - UniBo;Università di Bologna;public;NA;11.35352593;44.49039095;university;NA;NA;NA
1354402225;Johns Hopkins University;NA;NA;NA;11.35585465;44.49481599;university;40126;NA;NA
