name;type;district_name;lat;lon
Piscines Cobertes;Swimming Pool;Sant Martí;41.41442292582599;2.194138228628761
Mercat Fort Pienc;Market;Eixample;41.39577357186832;2.182541089615223
Casal de Gent Gran Quatre Cantons;Senior Center;Sant Martí;41.40680575086897;2.2039755474775142
Piscina Coberta;Swimming Pool;Sarrià-Sant Gervasi;41.40098699374353;2.1105047906383008
Casal de Barri Verdun;Neighborhood Center;Nou Barris;41.44384506469325;2.174979662227258
Piscines Cobertes;Swimming Pool;Nou Barris;41.42652044840267;2.1770855499017805
Casal  Mas Guinardó;Neighborhood Center;Horta-Guinardó;41.41816915835005;2.1744079393214104
Refugi climàtic;Climate Shelter;Eixample;41.383652411207244;2.157854759563498
Disseny Hub Barcelona;Museum;Sant Martí;41.402601111692825;2.1880498461023428
Clínica Sant Antoni;Health Facility;Sants-Montjuïc;41.35607713194699;2.1432939430344455
Piscina Coberta;Swimming Pool;Sant Andreu;41.451474639572886;2.1931301317422927
Biblioteca Sant Antoni - Joan Oliver;Library;Eixample;41.37741627114468;2.1627959464021846
Biblioteca Sant Gervasi - Joan Maragall;Library;Sarrià-Sant Gervasi;41.40595531098417;2.1359932205138352
Casal de Gent Gran de Sant Ramon;Senior Center;Les Corts;41.37701762396752;2.113853253307032
Saló del Tinell;Cultural Center;Ciutat Vella;41.38429549;2.1772601428647365
Biblioteca Poblenou - Manuel Arranz;Library;Sant Martí;41.40140488846787;2.204542879960712
Biblioteca;Library;Ciutat Vella;41.38243904810675;2.184497630278131
Biblioteca Collserola - Josep Miracle;Library;Sarrià-Sant Gervasi;41.41538974314011;2.102546833751382
Casal Cívic i Comunitari Barcelona - La Pau;Community Center;Sant Martí;41.42276565594044;2.2089591791351286
Museu de Ciències Naturals de Barcelona;Museum;Sant Martí;41.410811330820316;2.220499449653222
El Centre de la Platja;Cultural Center;Ciutat Vella;41.382770482481085;2.1950849442696727
Casa Padellàs.  Museu d'Història de Barcelona;Museum;Ciutat Vella;41.38392070170968;2.1778263792249843
Biblioteca Gabriel García Márquez;Library;Sant Martí;41.41707455085268;2.200138583889526
Centre Comercial Arenas de Barcelona;Shopping Center;Eixample;41.376038338441205;2.1499752959539173
Centre Cultural Albareda;Cultural Center;Sants-Montjuïc;41.37402973;2.1732856508328204
Sala Polivalent de Montbau;Cultural Center;Horta-Guinardó;41.42959732707339;2.142512680988442
Refugi climàtic;Climate Shelter;Eixample;41.39525329288888;2.168611342930838
Centre Cívic  Teixonera;Community Center;Horta-Guinardó;41.422665250088244;2.1445697223611813
Centre Esportiu Municipal Vintró - Joan Alentorn;Sports Center;Sant Martí;41.406689916501364;2.1862984907086447
Centre Esportiu Municipal Parc de la Ciutadella;Sports Center;Ciutat Vella;41.38552732576981;2.1864100992429276
Biblioteca Esquerra de l'Eixample - Agustí Centelles;Library;Eixample;41.38689535147527;2.152049712385728
Centre Esportiu Municipal Cotxeres Borbó;Sports Center;Nou Barris;41.42663852034722;2.176698872
Casal Cívic i Comunitari - Horta;Community Center;Horta-Guinardó;41.42660022666088;2.1563273455132608
Piscina Coberta;Swimming Pool;Gràcia;41.39943181174806;2.1615212113893216
Centre Esportiu Municipal Olímpics Vall Hebron;Sports Center;Horta-Guinardó;41.42789677307303;2.1452465998415344
Sala Pepita Casanellas;Community Center;Sants-Montjuïc;41.36081551879032;2.137936590838529
Centre Cívic Can Basté;Community Center;Nou Barris;41.43048746;2.173233437180801
Centre Esportiu Municipal Can Ricart;Sports Center;Ciutat Vella;41.37731084646637;2.1708804895915366
Centre Esportiu Municipal Nova Icària;Sports Center;Sant Martí;41.392393882467395;2.1980208136874495
Casal de Gent Gran Joan Maragall;Senior Center;Sant Martí;41.41344368370047;2.2175383082564677
Centre Esportiu Municipal Perill;Sports Center;Gràcia;41.39943181174806;2.1615212113893216
CRAI - Biblioteca de Grau;Library;Les Corts;41.386977291918406;2.116047632518847
Casal de Gent Gran Can Novell;Senior Center;Les Corts;41.38224275042145;2.1339080954786303
Espai de Gent Gran Maria Aurèlia Capmany;Senior Center;Eixample;41.390308658077956;2.1589209139122594
Bibiblioteca Rector Gabriel Ferraté;Library;Les Corts;41.38790151896208;2.1146704334958524
Museu d'Art Contemporani de Barcelona;Museum;Ciutat Vella;41.383177415641065;2.1678485289915796
Casal Cívic i Comunitari Bac de Roda;Community Center;Sant Martí;41.414434230336326;2.1958838867590136
Museu Etnològic i de Cultures del Món *Parc Montjuïc;Museum;Sants-Montjuïc;41.369093660609174;2.156001328720349
Casal de Gent Gran Mediterrània;Senior Center;Ciutat Vella;41.38029983799815;2.192316001321932
Espai de Gent Gran Montserrat Olivella;Senior Center;Eixample;41.386963025329585;2.145630465264087
La Lleialtat Santsenca;Community Center;Sants-Montjuïc;41.37291765088582;2.1366981790746196
Centre d'Arts Santa Mònica;Museum;Ciutat Vella;41.37725882473504;2.175614994736913
Casal de Gent Gran Can Castelló;Senior Center;Sarrià-Sant Gervasi;41.39904051559378;2.140179532716965
Casal de Gent Gran La Capa;Senior Center;Sants-Montjuïc;41.35996359173739;2.1427257715980694
Refugi Climàtic Pati d'Escola;School / Educational;Horta-Guinardó;41.420741003216314;2.152831919944113
Centre Cívic Sant Martí;Community Center;Sant Martí;41.41665521642997;2.198581654422569
Centre Cívic Can Verdaguer;Community Center;Nou Barris;41.43410459884157;2.1792048887112854
Piscines Cobertes;Swimming Pool;Les Corts;41.38540957993892;2.1335979261241165
Fabra i Coats - Fàbrica de Creació;Museum;Sant Andreu;41.433793974354174;2.1908326284827284
Espai de Gent Gran de l'Esquerra de l'Eixample;Senior Center;Eixample;41.386855714482415;2.1489342360294073
Biblioteca Sagrada Família - Josep M. Ainaud de Lasarte;Library;Eixample;41.40541560676076;2.1767746457391186
Centre Cívic El Sortidor;Community Center;Sants-Montjuïc;41.372098413253546;2.162548299594534
Refugi Climàtic Pati d'Escola;School / Educational;Sant Andreu;41.43879951258036;2.1895281742745585
Casal de Barri de Vallbona;Neighborhood Center;Nou Barris;41.46380397420252;2.1852811454732106
Piscina Coberta;Swimming Pool;Sant Martí;41.406689916501364;2.1862984907086447
Persones Grans de Ca l'Isidret;Community Center;Sant Martí;41.415848037532804;2.2068153447737964
Biblioteca Camp de l'Arpa - Caterina Albert;Library;Sant Martí;41.415797406903124;2.182298054802049
Piscina Coberta;Swimming Pool;Ciutat Vella;41.38466275981191;2.195470990559355
Piscines Cobertes;Swimming Pool;Horta-Guinardó;41.41697906;2.1737722486271203
Centre Cívic  Parc Sandaru;Community Center;Sant Martí;41.39174570900244;2.184766821590944
Centre Cívic Casa Orlandai;Community Center;Sarrià-Sant Gervasi;41.39836;2.1246720318706647
Casal de Gent Gran Parc del Clot;Senior Center;Sant Martí;41.40858413756341;2.1917834271355217
Casal de Barri Torre Baró;Neighborhood Center;Nou Barris;41.459855155436244;2.1813516060924187
Casal de Barri La Cosa Nostra;Neighborhood Center;Nou Barris;41.43373157668339;2.168051272300547
Piscina Coberta;Swimming Pool;Ciutat Vella;41.38520299;2.1866287315897024
Centre Cívic Navas;Community Center;Sant Andreu;41.41693998158291;2.184931573020558
Biblioteca Poble-sec - Francesc Boix;Library;Sants-Montjuïc;41.37395336575018;2.1640429039491607
Casal de Barri Can Baró - El Pirineu;Neighborhood Center;Horta-Guinardó;41.41723109674814;2.1624353098642413
Casal de Barri Cardener;Neighborhood Center;Gràcia;41.41011609494813;2.157034629500613
Hospital de la Santa Creu i Sant Pau;Health Facility;Horta-Guinardó;41.415441083959905;2.1739598683555683
Casal de Gent Gran Navas;Senior Center;Sant Andreu;41.416949376341556;2.1815895746695557
Biblioteca Sarrià – J. V. Foix;Library;Sarrià-Sant Gervasi;41.40001108079365;2.122120839557872
Casal de Barri Torre de la Sagrera;Neighborhood Center;Sant Andreu;41.42373640875645;2.191951961584244
Biblioteca Montserrat Abelló;Library;Les Corts;41.38373133027636;2.135305845435044
Biblioteca Francesc Candel;Library;Sants-Montjuïc;41.36180903;2.136294923801782
Centre Cívic Casa Golferichs;Community Center;Eixample;41.38084915;2.1564074948215346
Biblioteca Canyelles - M. Àngels Rivas;Library;Nou Barris;41.44380423947468;2.1643398502586457
Centre Esportiu Municipal Can Caralleu;Sports Center;Sarrià-Sant Gervasi;41.40098699374353;2.1105047906383008
Pavellons Poliesportius Municipals Camp del Ferro;Sports Center;Sant Andreu;41.427868820111236;2.1935644214906227
Torre Jussana - Centre de Serveis a les Associacions;Cultural Center;Horta-Guinardó;41.42969190027591;2.15131478
Casal Cívic i Comunitari Barcelona - Verdum;Community Center;Nou Barris;41.44423241402129;2.175522086803598
CRAI - Biblioteca Campus Diagonal Sud;Library;Les Corts;41.381260940678544;2.1192890199468386
Piscina Coberta;Swimming Pool;Sant Martí;41.425259389439034;2.204474912816305
Biblioteca Oriol Bohigas;Library;Les Corts;41.384423505592665;2.113370660627247
Biblioteca;Library;Les Corts;41.38489994951897;2.1152495646604175
Piscina Coberta;Swimming Pool;Nou Barris;41.43288641160291;2.172200959455586
Casal de Gent Gran del Taulat;Senior Center;Sant Martí;41.40188712;2.2035177464180573
Mercat Tres Torres;Market;Sarrià-Sant Gervasi;41.39994475791636;2.131280890433586
Casal de Gent Gran del Poble-sec;Senior Center;Sants-Montjuïc;41.37209842165101;2.162548215783544
Piscina Recreativa Coberta;Swimming Pool;Eixample;41.37640395525678;2.163762539235644
Casal de Gent Gran Parc Sandaru;Senior Center;Sant Martí;41.39174570900244;2.184766821590944
Casal Cívic i Comunitari Barcelona - Sant Martí;Community Center;Sant Martí;41.40942235217984;2.182462220061655
CRAI - Biblioteca;Library;Les Corts;41.38424788636903;2.1190944805898617
Supermercat Foodcoop BCN;Market;Eixample;41.385601116042025;2.1573555655373515
Centre Cívic Zona Nord;Community Center;Nou Barris;41.46070056717623;2.1783656547350856
Biblioteca Vapor Vell;Library;Sants-Montjuïc;41.37692859666653;2.134751788846474
Piscines Cobertes;Swimming Pool;Horta-Guinardó;41.435912412192934;2.1428565953667067
Piscines Cobertes;Swimming Pool;Nou Barris;41.436593069404815;2.183157005742885
Espai Jove La Fontana;Neighborhood Center;Gràcia;41.40325591053633;2.1523241627536023
Casal Cívic i Comunitari - La Barceloneta;Community Center;Ciutat Vella;41.380445057622765;2.188552309684918
Casal de Barri Congrés-Indians;Neighborhood Center;Sant Andreu;41.42401480894652;2.179437759725011
Casal de Barri Can Travi de la Vall d'Hebron;Neighborhood Center;Horta-Guinardó;41.43290624371183;2.1514916527557846
Biblioteca;Library;Les Corts;41.38387760418612;2.1134644021130615
Refugi Climàtic de la Biblioteca;Library;Nou Barris;41.445868894480135;2.1857245692364806
Biblioteca;Library;Les Corts;41.383756336159095;2.1127595762315243
Casal de Gent Gran Josep Tarradellas;Senior Center;Ciutat Vella;41.38197223223625;2.167164016816572
Casal Cívic i Comunitari Barcelona - Magòria;Community Center;Sants-Montjuïc;41.36986934117719;2.141260011
Biblioteca Montbau - Albert Pérez Baró;Library;Horta-Guinardó;41.42918246;2.1419696195097804
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Horta-Guinardó;41.427081935011756;2.167172769672243
Refugi climàtic;Climate Shelter;Gràcia;41.40720931893807;2.1554535333458538
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Ciutat Vella;41.38078011718044;2.192827246697062
Biblioteca Vila de Gràcia - Rosa M. Arquimbau;Library;Gràcia;41.40149826362453;2.158231476359067
Biblioteca Bon Pastor -  Josefina Castellví;Library;Sant Andreu;41.43519522535179;2.204676708689729
Casal de Barri del Maresme;Neighborhood Center;Sant Martí;41.41392469582459;2.211523443
Centre Cívic  Vil·la Urània;Community Center;Sarrià-Sant Gervasi;41.40144911965885;2.149816841793133
Centre Esportiu Municipal Piscines Bernat Picornell;Sports Center;Sants-Montjuïc;41.36632923206704;2.1507934502236252
Refugi Climàtic Pati d'Escola;School / Educational;Sant Martí;41.39343515484429;2.1944537641540434
Centre Esportiu Municipal Sagrada Família;Sports Center;Eixample;41.40729090540173;2.179320759601953
Refugi Climàtic Pati d'Escola;School / Educational;Ciutat Vella;41.38735392112421;2.1770820552623897
Mercat Concepció;Market;Eixample;41.39556815947775;2.169071648271845
Mercat Sant Antoni;Market;Eixample;41.37897269453997;2.162393771599188
Mercat Les Corts;Market;Les Corts;41.38407806063042;2.1298048647400445
Refugi Climàtic;Climate Shelter;Sarrià-Sant Gervasi;41.40104559920798;2.144349344252954
Refugi Climàtic *Plaça de la Farga;Climate Shelter;Sants-Montjuïc;41.372480562958756;2.1386796115745117
Casal de Gent Gran Bon Pastor;Senior Center;Sant Andreu;41.43801228301035;2.204991748427383
Casal de Gent Gran La Palmera;Senior Center;Sant Andreu;41.42278079150254;2.1850490251688464
Refugi climàtic;Climate Shelter;Sants-Montjuïc;41.35795616248951;2.143309958342342
Refugi Cilmàtic;Climate Shelter;Sarrià-Sant Gervasi;41.399662946310215;2.1214877060269433
Refugi Climàtic;Climate Shelter;Ciutat Vella;41.37996377699716;2.188318011021832
Punt d'Activitat de Creu Roja a Sants-Montjuïc;Community Center;Sants-Montjuïc;41.360940765632094;2.1354303913875237
Refugi Climàtic;Climate Shelter;Les Corts;41.38506372270051;2.1179021240670406
Piscina Coberta;Swimming Pool;Horta-Guinardó;41.42789677307303;2.1452465998415344
Biblioteca Vilapicina i la Torre Llobeta - Carmen Laforet;Library;Nou Barris;41.42691611188821;2.1764696039707148
Refugi Climàtic Pati d'Escola;School / Educational;Sants-Montjuïc;41.37186290045591;2.1280851779733574
Refugi Climàtic Pati d'Escola;School / Educational;Nou Barris;41.43943539520372;2.176865748121006
Biblioteca Guinardó - Mercè Rodoreda;Library;Horta-Guinardó;41.41434434997388;2.165335563039016
Museu Terra. Sala Barcelona;Museum;Sant Martí;41.40181518339201;2.1967621622254865
Biblioteca Gòtic - Andreu Nin;Library;Ciutat Vella;41.37848959636991;2.176064541270459
Casal de Gent Gran del Baix Guinardó;Senior Center;Horta-Guinardó;41.409963298329394;2.1675453838467686
Piscines Cobertes;Swimming Pool;Eixample;41.40729090540173;2.179320759601953
Piscina Esportiva Coberta;Swimming Pool;Sants-Montjuïc;41.364786603454995;2.15165633
Refugi Climàtic Pati d'Escola;School / Educational;Sants-Montjuïc;41.36004942767377;2.1384266320287693
Centre Esportiu Municipal Maresme;Sports Center;Sant Martí;41.41289174995191;2.214503855206219
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Sants-Montjuïc;41.377490329618915;2.1407478666950324
Refugi Climàtic Pati d'Escola Bressol;School / Educational;Nou Barris;41.442555073166815;2.1829332651530327
Refugi Climàtic Pati d'Escola;School / Educational;Nou Barris;41.445868894480135;2.1857245692364806
Fundació Privada Festa Major de Gràcia;Cultural Center;Gràcia;41.40610990261945;2.156681343
Refugi Climàtic Pati d'Escola;School / Educational;Gràcia;41.40929559338782;2.1617819614494187
Refugi Climàtic Pati d'Escola;School / Educational;Eixample;41.37557224589931;2.1629307624189775
Refugi Climàtic;Climate Shelter;Eixample;41.38509091288339;2.1436043622794205
Biblioteca Nou Barris - Aurora Díaz Plaja;Library;Nou Barris;41.43684455;2.1712296246319656
